latitude,longitude,land_use_label,distance_to_waterbody,distance_to_open_space,subzone,planning_area,region,elevation,temp_2024_04_07_min,temp_2024_04_07_max,temp_2024_04_07_median,temp_2024_04_08_min,temp_2024_04_08_max,temp_2024_04_08_median,temp_2024_04_09_min,temp_2024_04_09_max,temp_2024_04_09_median,temp_2024_04_10_min,temp_2024_04_10_max,temp_2024_04_10_median,Total_x,HDB Total,Condominiums & Other Apartments,Landed Properties_x,Other Dwellings_x,Floor_below_60,Floor_60-80,Floor_80-100,Floor_100-120,Floor_above_120,"Below $1,000","$1,000 - $1,999","$2,000 - $2,999","$3,000 - $3,999","$4,000 - $4,999","$5,000 - $5,999","$6,000 - $6,999","$7,000 - $7,999","$8,000 - $8,999","$9,000 - $9,999","$10,000 - 10,999","$11,000 - 11,999","$12,000 - $14,999","$15,000 & Over",tree cover,shrubland,grassland,cropland,built-up,bare / sparse vegetation,snow and ice,permanent water bodies,herbaceous wetland,mangroves,moss and lichen,min_ndvi,mean_ndvi,max_ndvi
1.32734537,103.776261,ROAD,0.005490970406,0.0003047961778,HOLLAND ROAD,BUKIT TIMAH,CENTRAL REGION,34,28.88073591,28.88073591,28.88073591,27.59269006,29.49102765,28.88073591,27.33170599,30.26633113,30.26633113,27.65460516,29.59200022,27.65460516,10840,0,6540,4220,90,60,120,910,840,8810,1779,1979,1660,2073,2116,2467,1695,1774,1677,1359,1803,1334,2661,12626,183,0,28,1,128,1,0,1,0,0,0,0.1176063463,0.2107233339,0.3355351585
1.362310236,103.8850407,RESIDENTIAL,0.002163395166,0.002287753554,KOVAN,HOUGANG,NORTH-EAST REGION,14,33.60357067,34.03291929,33.60357067,28.45138729,34.46226791,30.460157,26.04010928,35.30580373,32.4980928,26.68590763,32.82099198,31.52939527,24810,3870,8870,11770,290,370,1050,3410,3450,16240,9273,18531,15877,16688,12827,10695,7873,5989,5649,4091,3577,2873,5396,7902,10,0,4,0,183,1,0,0,0,0,0,0.06873453002,0.1237388913,0.1772913102
1.30479234,103.7406781,BUSINESS 2,0.001659553597,0.001437316811,PENJURU CRESCENT,JURONG EAST,WEST REGION,10,28.88073591,29.31008452,28.88073591,27.59269006,29.49102765,28.88073591,27.33170599,30.65398287,29.87867939,27.33170599,28.62330269,27.65460516,10,0,0,0,0,0,0,0,0,0,2817,6424,5593,5364,4532,3688,2577,2393,1711,1374,1125,843,1465,2018,10,0,6,0,251,8,0,33,0,0,0,0.03399855502,0.07334574643,0.1149060753
1.432131106,103.7930284,ROAD,0.002688051103,0.002471687569,WOODLANDS SOUTH,WOODLANDS,NORTH REGION,32,30.16878175,30.16878175,30.16878175,28.02203868,33.60357067,30.16878175,29.87867939,34.14284852,31.42928635,27.33170599,31.85229445,29.75344981,41000,33550,7420,0,30,1840,1250,7020,18850,12010,10550,20131,21026,19704,16449,12758,9353,6842,5611,4529,2660,2353,3944,2794,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.303529781,103.8208611,CIVIC & COMMUNITY INSTITUTION,0.01112405874,0.00412692937,RIDOUT,TANGLIN,CENTRAL REGION,17,30.16878175,30.16878175,30.16878175,28.45138729,33.60357067,30.16878175,29.87867939,31.52939527,31.2064961,27.33170599,31.52939527,29.26910104,1520,0,630,850,40,0,0,60,20,1400,344,335,383,487,383,612,387,427,487,325,501,326,809,4399,123,0,10,0,63,1,0,0,0,0,0,0.09017470784,0.2076336658,0.3255961435
1.355390961,103.8712595,WATERBODY,0.0,0.0005133719194,SERANGOON CENTRAL,SERANGOON,NORTH-EAST REGION,30,28.45138729,30.16878175,28.88073591,28.02203868,33.17422206,29.87867939,29.87867939,31.52939527,30.7687899,27.33170599,31.52939527,28.62330269,24760,19330,4050,1250,130,830,3530,8840,4700,6700,3740,7518,6247,6299,5600,5431,3878,3426,3052,2427,2490,1674,3627,8149,11,0,3,0,94,1,0,1,0,0,0,0.06070118587,0.1198349719,0.173249596
1.263954412,103.8125069,COMMERCIAL,0.005629158478,0.0004700576359,MARITIME SQUARE,BUKIT MERAH,CENTRAL REGION,0,28.88073591,30.16878175,29.31008452,28.45138729,31.88617621,29.73943314,30.26633113,31.52939527,30.65398287,27.33170599,31.52939527,28.62330269,3620,0,3160,80,380,30,140,330,730,2010,5897,11943,8123,7825,6249,6411,4718,4132,3552,2802,2806,2318,4404,7522,155,0,34,0,72,4,0,8,0,0,0,0.0885728708,0.1845632667,0.274284825
1.396179559,103.878624,CIVIC & COMMUNITY INSTITUTION,0.0009508303395,0.001113229839,FERNVALE,SENGKANG,NORTH-EAST REGION,28,28.88073591,28.88073591,28.88073591,27.59269006,31.88617621,28.88073591,27.65460516,31.2064961,30.26633113,27.65460516,31.2064961,27.65460516,58800,47650,9600,1070,490,4000,7790,30100,13450,2920,8651,17230,15393,16130,15469,12751,11198,8471,7626,5497,5482,3875,6995,6648,62,0,29,1,135,9,0,7,0,0,0,0.07566475324,0.1636152703,0.2463903385
1.289461386,103.8273082,RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,0.00291654738,0.002806776346,BUKIT HO SWEE,BUKIT MERAH,CENTRAL REGION,17,28.45138729,33.17422206,28.88073591,28.02203868,33.60357067,30.26633113,29.87867939,34.53050026,30.73641361,27.33170599,31.85229445,30.88359692,14390,13780,530,0,80,6270,2520,3200,1930,380,5897,11943,8123,7825,6249,6411,4718,4132,3552,2802,2806,2318,4404,7522,18,0,3,0,34,1,0,1,0,0,0,0.07329069019,0.1415030589,0.2056058496
1.351477436,103.7080652,OPEN SPACE,0.0039201939,0.0,WENYA,JURONG WEST,WEST REGION,12,28.45138729,33.60357067,31.67150191,28.02203868,34.03291929,30.460157,26.36300846,34.918152,31.52939527,26.36300846,31.85229445,31.04504651,8280,8090,0,0,190,0,0,3070,4170,850,10288,20539,20398,21789,17754,14433,10063,7255,6010,4563,3428,2323,4617,5326,35,0,50,1,85,29,0,0,0,0,0,0.08386080791,0.1591639465,0.2652312557
1.346771829,103.8660973,RESIDENTIAL,0.001770049729,0.001160769325,LORONG CHUAN,SERANGOON,NORTH-EAST REGION,19,33.60357067,34.03291929,34.03291929,28.02203868,34.89161652,31.65773128,26.04010928,35.69345547,31.42928635,26.04010928,32.17519363,31.52939527,8490,0,4210,4190,90,90,60,410,1010,6830,3740,7518,6247,6299,5600,5431,3878,3426,3052,2427,2490,1674,3627,8149,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.365338966,103.8394574,ROAD,0.001901790779,0.0003121364983,SHANGRI-LA,ANG MO KIO,NORTH-EAST REGION,25,28.88073591,28.88073591,28.88073591,27.59269006,29.10337592,28.88073591,27.33170599,30.26633113,29.87867939,27.00880681,28.94620187,27.65460516,15960,15620,0,280,50,2680,5440,5250,880,1660,6306,14367,10414,10210,8320,7022,5489,4291,3392,2598,2637,1905,3237,6309,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.329413342,103.9480693,RESIDENTIAL,0.0009324506553,0.0008030844309,BEDOK NORTH,BEDOK,EAST REGION,12,33.17422206,33.60357067,33.17422206,28.02203868,34.46226791,30.65398287,26.04010928,34.918152,32.01374404,26.04010928,32.17519363,31.2064961,81840,71570,5440,4380,460,8840,22730,30390,9190,10230,10917,19697,17730,16491,12361,11162,7552,5855,5985,4842,4301,4067,7528,16726,66,0,6,1,248,2,0,2,0,0,0,0.08055183811,0.1454817717,0.2247988093
1.423531196,103.8308889,PLACE OF WORSHIP,0.0002044483911,0.001612037551,YISHUN WEST,YISHUN,NORTH REGION,16,30.16878175,30.16878175,30.16878175,28.02203868,30.26633113,30.16878175,27.65460516,31.81693809,30.93023948,27.65460516,31.2064961,28.62330269,53910,47220,6160,0,530,1390,16800,20670,7760,6770,7834,17867,18736,16675,13441,11615,8184,6424,5009,3872,2973,2222,3320,4025,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.382745198,103.821964,RESERVE SITE,0.005524693706,0.002648041817,TAGORE,ANG MO KIO,NORTH-EAST REGION,36,28.02203868,28.45138729,28.02203868,26.73399283,28.88073591,27.9404207,27.33170599,29.87867939,28.32807244,26.36300846,27.65460516,27.33170599,7950,0,2510,5260,180,50,190,90,1080,6370,6306,14367,10414,10210,8320,7022,5489,4291,3392,2598,2637,1905,3237,6309,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.433419111,103.7306744,UTILITY,0.005322670585,0.005217723624,LIM CHU KANG,LIM CHU KANG,NORTH REGION,17,28.02203868,28.88073591,28.02203868,26.73399283,29.31008452,28.32807244,27.65460516,30.26633113,29.10337592,26.68590763,27.65460516,27.65460516,110,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.327420926,103.8784605,BUSINESS 1,0.005403904291,0.001795933271,KALLANG WAY,GEYLANG,CENTRAL REGION,16,28.45138729,33.60357067,33.17422206,28.02203868,34.46226791,30.65398287,26.04010928,34.918152,31.42928635,26.68590763,32.17519363,31.2064961,30,0,0,0,0,0,0,0,0,0,4374,9738,8060,7549,5681,4562,3488,2561,2191,2007,1953,1407,2836,4653,13,0,4,1,79,1,0,1,0,0,0,0.05673887123,0.1207195988,0.2017039615
1.2774523,103.8185925,COMMERCIAL & RESIDENTIAL,0.007998620192,0.0008724656659,TELOK BLANGAH WAY,BUKIT MERAH,CENTRAL REGION,42,28.88073591,29.31008452,28.88073591,27.59269006,29.87867939,28.88073591,27.33170599,30.88359692,30.26633113,27.33170599,30.88359692,27.65460516,9230,9170,0,0,50,2320,3780,1410,1320,350,5897,11943,8123,7825,6249,6411,4718,4132,3552,2802,2806,2318,4404,7522,12,0,1,0,17,0,0,0,0,0,0,0.09502096852,0.1943279651,0.2980879418
1.321922267,103.9234976,RESIDENTIAL,0.0005288149072,0.0004397012502,FRANKEL,BEDOK,EAST REGION,7,28.45138729,33.17422206,28.45138729,27.59269006,34.03291929,30.26633113,29.87867939,34.53050026,31.31789122,27.33170599,31.85229445,27.65460516,34490,0,15090,18850,550,790,900,1990,4410,25710,10917,19697,17730,16491,12361,11162,7552,5855,5985,4842,4301,4067,7528,16726,34,0,6,0,390,1,0,1,0,0,0,0.06455390389,0.1254145168,0.1822783656
1.381320698,103.9102376,BUSINESS 2,0.003296616375,0.003161011193,LORONG HALUS NORTH,SENGKANG,NORTH-EAST REGION,20,28.02203868,28.88073591,28.45138729,27.59269006,29.31008452,28.32807244,27.65460516,30.26633113,28.90955005,26.36300846,27.97750434,27.65460516,0,0,0,0,0,0,0,0,0,0,8651,17230,15393,16130,15469,12751,11198,8471,7626,5497,5482,3875,6995,6648,72,0,6,1,9,0,0,8,0,0,0,0.08673102024,0.2242921442,0.3629525417
